# ACS wfc_F625W total throughput
# File taken from http://www.stsci.edu/hst/acs/analysis/throughputs/tables/wfc_F625W.dat
#
#  Thinned by galsim.utilities.thin_tabulated_values to a relative error of 1.e-3
#  with fast_search=False.
#
# Wavelength(nm)  Throughput(0-1)
     300.00       0.00000
     534.00       0.00001
     538.00       0.00004
     542.00       0.00116
     544.00       0.00362
     546.00       0.01196
     546.80       0.01824
     549.20       0.04510
     550.10       0.05341
     550.70       0.06272
     553.00       0.11504
     553.80       0.13169
     555.70       0.16683
     557.40       0.19797
     558.00       0.20853
     558.80       0.21816
     560.40       0.23050
     560.90       0.23704
     561.80       0.24927
     563.40       0.27658
     564.70       0.29105
     566.30       0.29986
     567.50       0.31201
     568.00       0.31804
     569.00       0.31770
     571.10       0.30668
     571.30       0.30800
     571.80       0.31132
     572.70       0.32166
     574.00       0.34046
     575.00       0.34896
     577.10       0.34512
     578.00       0.34699
     578.80       0.35120
     580.10       0.36679
     580.30       0.36671
     581.10       0.36636
     583.00       0.36503
     584.10       0.37299
     584.70       0.37844
     585.00       0.38117
     586.00       0.38275
     587.50       0.37655
     587.90       0.37462
     590.10       0.38568
     590.60       0.38589
     591.30       0.38447
     591.90       0.38133
     594.10       0.37357
     594.90       0.37767
     595.10       0.37926
     595.80       0.38686
     596.40       0.39219
     597.00       0.39695
     597.80       0.39483
     598.60       0.39094
     600.20       0.37949
     600.60       0.38121
     601.20       0.38430
     601.80       0.38842
     603.30       0.40548
     604.00       0.40880
     605.90       0.41067
     607.50       0.40546
     609.10       0.40725
     610.10       0.40085
     611.00       0.38852
     611.50       0.38823
     612.00       0.38794
     612.90       0.39656
     615.20       0.42569
     615.60       0.42701
     616.50       0.42684
     616.90       0.42564
     618.10       0.41388
     620.20       0.41736
     620.40       0.41914
     621.00       0.42449
     623.00       0.43415
     624.40       0.43060
     625.10       0.42984
     626.00       0.43584
     627.00       0.43829
     628.80       0.43508
     630.30       0.41369
     631.00       0.40372
     632.00       0.39751
     632.70       0.40302
     632.90       0.40460
     634.10       0.42818
     634.70       0.43231
     636.00       0.44667
     636.50       0.44684
     636.90       0.44697
     638.10       0.44012
     639.20       0.44583
     640.00       0.44882
     642.10       0.44646
     642.80       0.43992
     643.40       0.43596
     643.90       0.43334
     645.50       0.43397
     645.80       0.43422
     648.00       0.45133
     648.40       0.44853
     649.00       0.44434
     649.90       0.43296
     650.60       0.42128
     651.40       0.41200
     652.40       0.40922
     653.50       0.41252
     653.90       0.41430
     655.20       0.43541
     656.00       0.44007
     657.40       0.43937
     657.80       0.43775
     658.70       0.44158
     660.10       0.44128
     660.40       0.44449
     661.00       0.45092
     661.60       0.45089
     662.10       0.45068
     664.10       0.44945
     664.50       0.44493
     664.70       0.44267
     665.00       0.43928
     666.00       0.44013
     667.50       0.44564
     668.40       0.44967
     668.80       0.45062
     668.90       0.45085
     669.70       0.44560
     671.40       0.43684
     672.20       0.43179
     672.50       0.43272
     672.90       0.43395
     674.40       0.43797
     676.10       0.44748
     677.50       0.44260
     679.20       0.43852
     680.00       0.43642
     680.50       0.43956
     680.70       0.44081
     680.80       0.44144
     681.80       0.43610
     683.70       0.42903
     685.10       0.42245
     685.20       0.42273
     685.30       0.42302
     685.70       0.42417
     688.00       0.42556
     690.80       0.41443
     691.40       0.41388
     693.20       0.41936
     694.00       0.41942
     695.00       0.41505
     696.20       0.40357
     698.00       0.38119
     698.70       0.36857
     699.90       0.33779
     700.60       0.30102
     700.90       0.28406
     702.20       0.19192
     703.00       0.14390
     704.00       0.10209
     705.00       0.07500
     706.60       0.03727
     707.00       0.02850
     708.00       0.01485
     709.00       0.00761
     710.20       0.00380
     712.00       0.00170
     714.00       0.00091
     718.00       0.00028
     729.50       0.00003
     768.40       0.00001
    1045.00       0.00000
