# ACS wfc_F475W total throughput
# File taken from http://www.stsci.edu/hst/acs/analysis/throughputs/tables/wfc_F475W.dat
#
#  Thinned by galsim.utilities.thin_tabulated_values to a relative error of 1.e-3
#  with fast_search=False.
#
# Wavelength(nm)  Throughput(0-1)
     351.00       0.00000
     379.60       0.00007
     383.00       0.00044
     385.00       0.00219
     387.00       0.00698
     388.50       0.01507
     390.00       0.02733
     393.00       0.05777
     394.60       0.07529
     397.00       0.10419
     397.80       0.11525
     399.50       0.13712
     399.90       0.14219
     403.30       0.17745
     404.00       0.18663
     406.30       0.21803
     408.00       0.23673
     408.50       0.23914
     409.90       0.24706
     410.90       0.25251
     414.40       0.27936
     414.80       0.28128
     415.90       0.28586
     418.40       0.28663
     419.00       0.28614
     420.30       0.29249
     420.50       0.29318
     420.70       0.29388
     423.50       0.31207
     424.20       0.31712
     424.50       0.31837
     426.10       0.32750
     426.20       0.32767
     426.50       0.32817
     430.10       0.34044
     430.40       0.34040
     430.50       0.34039
     431.50       0.34223
     437.00       0.35125
     438.00       0.35287
     438.10       0.35295
     438.60       0.35335
     440.20       0.35189
     443.20       0.34951
     445.10       0.35214
     447.70       0.35876
     448.80       0.36127
     452.00       0.36587
     454.60       0.36403
     456.50       0.36021
     458.50       0.35657
     459.60       0.35599
     459.80       0.35582
     459.90       0.35573
     461.50       0.35885
     464.60       0.36670
     465.00       0.36742
     467.30       0.37252
     467.50       0.37256
     468.10       0.37246
     470.00       0.36977
     471.50       0.37031
     474.40       0.36761
     474.70       0.36723
     474.80       0.36711
     475.50       0.36877
     478.30       0.37394
     478.50       0.37373
     479.20       0.37333
     480.10       0.37383
     481.10       0.37354
     481.30       0.37363
     483.60       0.37117
     487.30       0.36775
     487.80       0.36768
     488.40       0.36765
     489.00       0.36766
     492.70       0.37509
     494.00       0.37492
     495.00       0.37711
     499.10       0.37756
     499.60       0.37825
     499.70       0.37839
     502.60       0.37437
     505.30       0.36818
     505.70       0.36882
     506.00       0.36931
     507.00       0.36809
     507.80       0.37028
     509.10       0.36909
     511.60       0.37323
     513.60       0.37421
     516.00       0.37289
     520.20       0.36310
     520.90       0.36218
     522.50       0.36059
     522.80       0.35975
     525.40       0.36083
     526.20       0.36185
     526.30       0.36143
     526.60       0.36017
     526.80       0.35932
     527.40       0.35809
     529.80       0.35280
     531.00       0.34734
     533.70       0.33126
     535.20       0.32583
     537.10       0.32425
     537.80       0.32817
     539.00       0.33505
     540.00       0.34592
     542.00       0.35459
     543.60       0.34528
     544.00       0.34267
     545.40       0.31075
     546.00       0.29348
     547.00       0.24587
     547.80       0.20148
     549.20       0.12032
     549.80       0.09104
     550.20       0.07456
     551.00       0.04761
     551.60       0.03536
     552.00       0.02719
     553.00       0.01581
     554.30       0.00835
     555.00       0.00579
     556.90       0.00269
     563.40       0.00063
     579.00       0.00004
     595.50       0.00000
     771.00       0.00000
    1050.00       0.00000
