# ACS wfc_F606W total throughput
# File taken from http://www.stsci.edu/hst/acs/analysis/throughputs/tables/wfc_F606W.dat
#
#  Thinned by galsim.utilities.thin_tabulated_values to a relative error of 1.e-3
#  with fast_search=False.
#
# Wavelength(nm)  Throughput(0-1)
     300.00       0.00000
     433.00       0.00000
     456.00       0.00001
     458.20       0.00023
     461.20       0.00170
     464.00       0.00790
     464.60       0.01301
     464.90       0.01556
     466.10       0.04247
     466.70       0.04578
     467.00       0.04743
     468.00       0.05096
     468.70       0.08421
     469.00       0.09845
     470.00       0.12672
     470.60       0.11222
     471.00       0.10256
     472.00       0.12551
     472.40       0.15368
     473.00       0.19593
     473.80       0.19338
     474.00       0.19274
     475.00       0.16209
     475.20       0.16999
     475.60       0.18580
     475.90       0.19766
     476.00       0.20161
     477.00       0.28232
     477.10       0.28060
     477.80       0.26862
     478.20       0.25685
     479.00       0.22350
     480.10       0.26596
     480.30       0.27940
     481.00       0.32643
     481.90       0.31859
     482.20       0.31883
     482.80       0.32216
     484.20       0.34692
     485.00       0.35803
     486.00       0.35249
     487.70       0.36288
     487.90       0.36444
     489.20       0.32860
     490.00       0.31132
     490.50       0.31081
     491.00       0.31029
     491.90       0.31914
     492.00       0.32012
     494.20       0.36700
     494.50       0.37011
     494.90       0.37425
     495.30       0.37014
     497.10       0.33500
     497.40       0.33818
     498.00       0.34454
     498.50       0.35771
     499.00       0.37089
     501.00       0.38832
     502.00       0.37834
     502.90       0.35801
     503.10       0.35318
     503.60       0.34036
     504.00       0.33009
     505.00       0.32134
     506.00       0.32253
     506.50       0.34291
     506.90       0.35922
     508.30       0.37258
     508.90       0.38261
     510.10       0.35662
     510.50       0.35759
     512.40       0.35663
     512.80       0.35753
     513.60       0.36752
     513.90       0.37230
     515.30       0.38273
     516.10       0.39201
     516.50       0.38368
     516.60       0.38160
     517.00       0.37325
     517.70       0.37312
     518.80       0.36472
     518.90       0.36368
     519.00       0.36264
     520.00       0.40662
     520.10       0.40408
     520.40       0.39645
     520.80       0.38626
     521.00       0.38116
     521.70       0.38782
     521.90       0.38973
     522.00       0.39069
     523.10       0.34917
     523.20       0.34858
     523.90       0.34437
     524.00       0.34377
     525.00       0.38321
     525.20       0.37824
     525.70       0.36580
     525.90       0.36081
     526.00       0.35832
     527.00       0.39004
     527.10       0.38878
     527.30       0.38625
     528.00       0.37739
     528.40       0.38743
     528.80       0.39747
     528.90       0.39998
     529.00       0.40250
     529.70       0.39149
     530.70       0.38068
     532.00       0.35730
     532.10       0.36089
     532.20       0.36449
     532.30       0.36808
     532.70       0.38246
     532.80       0.38605
     533.00       0.39325
     533.60       0.37900
     533.90       0.37187
     534.00       0.36949
     535.00       0.40935
     535.10       0.40839
     535.20       0.40744
     536.00       0.39981
     537.00       0.39550
     538.00       0.39738
     538.50       0.39157
     539.50       0.37291
     539.90       0.36264
     540.70       0.35686
     540.90       0.35594
     542.70       0.38915
     543.30       0.39838
     544.40       0.41255
     544.80       0.41729
     546.20       0.41507
     547.00       0.41647
     548.00       0.42382
     549.60       0.41737
     550.20       0.41184
     550.80       0.39902
     551.00       0.39474
     555.00       0.41881
     555.20       0.41637
     555.80       0.40902
     557.30       0.41724
     558.00       0.41915
     558.40       0.41711
     558.90       0.41457
     559.80       0.41106
     561.10       0.39237
     561.40       0.39250
     562.00       0.39277
     562.90       0.40637
     563.50       0.41383
     564.00       0.41978
     565.00       0.42123
     566.10       0.41189
     566.40       0.40922
     567.00       0.40387
     568.00       0.40481
     569.20       0.41340
     570.30       0.42163
     570.90       0.42367
     572.50       0.41494
     572.90       0.41467
     574.10       0.42164
     574.30       0.41613
     574.40       0.41338
     575.00       0.39686
     576.70       0.39408
     577.40       0.39530
     578.00       0.39843
     580.20       0.42442
     580.60       0.42709
     581.50       0.43111
     582.00       0.43246
     582.60       0.42578
     584.20       0.41807
     584.50       0.41453
     584.90       0.40982
     586.10       0.42539
     586.30       0.42484
     587.40       0.42288
     588.00       0.42279
     588.70       0.41498
     588.90       0.41275
     589.00       0.41164
     590.00       0.44081
     590.10       0.43887
     590.50       0.43112
     590.90       0.42336
     591.30       0.42717
     591.80       0.43678
     592.60       0.43475
     593.00       0.43083
     593.80       0.41986
     595.00       0.39475
     595.10       0.39755
     595.20       0.40035
     595.70       0.41437
     595.80       0.41718
     595.90       0.41999
     597.10       0.41363
     597.30       0.41475
     598.40       0.41832
     599.90       0.41617
     601.40       0.42231
     603.50       0.42702
     605.10       0.43896
     605.70       0.43717
     608.00       0.42286
     608.40       0.42768
     609.00       0.43493
     609.40       0.43793
     609.50       0.43868
     610.00       0.44244
     610.60       0.43763
     610.90       0.43522
     612.40       0.44308
     613.30       0.44343
     615.00       0.44544
     616.10       0.43298
     616.60       0.42150
     616.90       0.41460
     618.00       0.39693
     618.90       0.38573
     620.40       0.37942
     621.00       0.37628
     621.60       0.38172
     622.00       0.38535
     622.70       0.40517
     622.90       0.41084
     624.30       0.42866
     625.00       0.44090
     625.30       0.44079
     626.00       0.44053
     627.70       0.44855
     628.00       0.45057
     628.80       0.43885
     630.10       0.43999
     630.40       0.43675
     630.80       0.43242
     632.50       0.43021
     632.90       0.42831
     634.30       0.43510
     635.10       0.43434
     635.60       0.45345
     635.80       0.46110
     636.00       0.46876
     636.70       0.43892
     637.00       0.42611
     638.00       0.44179
     638.10       0.43758
     638.50       0.42070
     639.00       0.39958
     639.30       0.40348
     639.60       0.40737
     639.90       0.41127
     641.00       0.39709
     641.20       0.40230
     641.90       0.42058
     642.40       0.41592
     642.70       0.41047
     643.00       0.40503
     643.70       0.43451
     644.00       0.44715
     645.00       0.43063
     645.10       0.43460
     645.50       0.45052
     645.90       0.46644
     646.00       0.47042
     647.00       0.44094
     647.10       0.44391
     647.40       0.45281
     648.00       0.47063
     648.20       0.46360
     648.80       0.44251
     649.00       0.43548
     649.60       0.44809
     649.90       0.45440
     650.00       0.45650
     651.00       0.41507
     651.10       0.41622
     651.30       0.41853
     652.00       0.42661
     652.30       0.41985
     652.60       0.41310
     652.70       0.41085
     653.00       0.40409
     653.70       0.42546
     653.90       0.43156
     654.00       0.43461
     655.00       0.40820
     655.10       0.41195
     655.40       0.42321
     656.00       0.44571
     656.30       0.43932
     656.50       0.43505
     657.00       0.42438
     657.50       0.43194
     657.90       0.43798
     659.10       0.42406
     659.30       0.42508
     660.00       0.42864
     660.60       0.41346
     660.70       0.41093
     660.80       0.40839
     661.00       0.40333
     661.70       0.41687
     661.80       0.41880
     662.00       0.42267
     664.10       0.42657
     664.20       0.42989
     665.00       0.45645
     665.40       0.44718
     665.60       0.44254
     666.00       0.43328
     666.30       0.44462
     666.40       0.44840
     666.50       0.45218
     667.00       0.47110
     667.40       0.46042
     667.60       0.45508
     668.10       0.44782
     668.30       0.45466
     668.60       0.46492
     668.70       0.46834
     669.00       0.47861
     669.60       0.45363
     669.90       0.44115
     670.00       0.43698
     671.10       0.44975
     671.40       0.44294
     672.00       0.42930
     672.30       0.43022
     673.30       0.42794
     674.00       0.41764
     674.60       0.43296
     674.80       0.43806
     675.00       0.44317
     676.20       0.41779
     677.00       0.41366
     677.10       0.41889
     677.40       0.43458
     677.50       0.43982
     677.60       0.44505
     677.80       0.45552
     678.00       0.46599
     678.60       0.43786
     678.90       0.42379
     679.00       0.41910
     680.00       0.45557
     680.10       0.45220
     680.40       0.44209
     681.00       0.42187
     681.60       0.42519
     682.00       0.42740
     682.50       0.41866
     682.70       0.41517
     683.00       0.40992
     683.60       0.42548
     683.90       0.43326
     684.00       0.43585
     685.00       0.41152
     685.20       0.41760
     685.50       0.42671
     686.00       0.44190
     686.30       0.43598
     686.50       0.43204
     687.00       0.42217
     687.30       0.42857
     687.70       0.43711
     687.80       0.43924
     688.00       0.44351
     688.50       0.42837
     688.60       0.42534
     688.70       0.42232
     689.00       0.41323
     689.50       0.41758
     689.90       0.42106
     690.00       0.42193
     691.00       0.38302
     691.30       0.38705
     692.00       0.39647
     692.40       0.38299
     693.00       0.36278
     693.20       0.36893
     693.40       0.37507
     694.00       0.39348
     694.50       0.38371
     694.70       0.37980
     695.00       0.37394
     695.70       0.40284
     695.90       0.41109
     697.10       0.42167
     697.30       0.42574
     698.00       0.43995
     698.30       0.43342
