# ACS wfc_F775W total throughput
# File taken from http://www.stsci.edu/hst/acs/analysis/throughputs/tables/wfc_F775W.dat
#
#  Thinned by galsim.utilities.thin_tabulated_values to a relative error of 1.e-3
#  with fast_search=False.
#
# Wavelength(nm)  Throughput(0-1)
     400.00       0.00000
     630.40       0.00000
     650.00       0.00000
     677.40       0.00387
     680.00       0.00423
     682.00       0.00735
     684.00       0.01293
     686.00       0.02168
     687.40       0.03079
     690.00       0.05467
     692.30       0.08327
     693.00       0.09358
     694.30       0.11460
     694.90       0.12436
     696.40       0.15353
     696.80       0.16209
     699.00       0.19975
     699.50       0.21002
     701.00       0.24153
     701.70       0.25302
     702.10       0.25943
     704.00       0.29088
     704.50       0.29655
     705.00       0.30222
     707.40       0.33360
     708.80       0.34952
     710.10       0.35917
     710.80       0.36659
     711.40       0.37381
     711.80       0.37892
     713.10       0.38044
     713.60       0.38577
     715.20       0.39758
     716.00       0.40471
     717.00       0.40312
     718.60       0.40952
     721.20       0.42291
     721.60       0.42331
     722.50       0.42563
     722.80       0.42678
     723.50       0.42677
     724.60       0.42847
     724.90       0.42971
     726.20       0.42632
     726.50       0.42771
     727.50       0.42982
     728.00       0.42963
     728.20       0.42822
     728.60       0.42541
     729.10       0.42284
     729.90       0.42481
     731.40       0.43280
     731.90       0.43457
     732.70       0.43293
     734.10       0.42679
     734.50       0.42943
     735.00       0.43273
     736.10       0.43220
     737.00       0.42912
     737.40       0.43172
     737.50       0.43237
     738.00       0.43561
     738.40       0.43346
     739.00       0.43024
     740.20       0.43127
     740.50       0.43160
     740.90       0.43204
     742.70       0.42450
     744.40       0.42192
     744.70       0.42038
     747.70       0.41788
     750.50       0.41869
     751.00       0.41808
     753.20       0.42443
     753.60       0.42367
     755.00       0.42393
     755.70       0.42176
     757.50       0.42039
     760.20       0.41416
     761.00       0.41368
     761.80       0.41476
     762.60       0.41497
     765.20       0.40877
     765.70       0.40912
     767.00       0.41206
     767.70       0.40808
     769.90       0.39821
     771.50       0.39154
     774.20       0.38156
     776.10       0.38135
     777.00       0.37891
     780.40       0.38485
     782.60       0.38683
     783.40       0.38684
     784.10       0.38603
     784.50       0.38718
     785.00       0.38862
     785.60       0.38269
     785.70       0.38170
     786.80       0.38016
     788.80       0.37443
     791.40       0.36786
     794.00       0.36242
     794.40       0.36184
     795.40       0.35883
     795.60       0.35776
     799.30       0.34950
     799.70       0.34827
     800.70       0.34575
     802.30       0.33941
     802.80       0.33991
     802.90       0.34000
     803.10       0.33989
     804.00       0.33800
     804.30       0.33840
     806.00       0.33849
     809.00       0.34078
     810.50       0.34084
     810.70       0.34120
     810.80       0.34138
     810.90       0.34156
     812.60       0.33963
     816.20       0.33451
     816.30       0.33465
     818.20       0.33277
     818.50       0.33312
     820.30       0.33177
     821.30       0.33214
     821.50       0.33148
     823.60       0.32524
     824.00       0.32328
     825.00       0.31645
     825.50       0.31696
     826.00       0.31746
     826.40       0.31645
     826.70       0.31570
     827.00       0.31495
     830.30       0.30062
     830.50       0.30102
     830.90       0.30180
     832.20       0.29560
     832.50       0.29594
     833.70       0.29201
     835.30       0.29081
     836.00       0.28924
     836.60       0.28649
     836.90       0.28511
     839.50       0.28623
     842.00       0.28515
     844.80       0.27276
     849.00       0.24687
     851.00       0.21776
     852.00       0.19398
     852.70       0.17285
     855.20       0.08776
     855.80       0.06936
     856.30       0.05666
     857.00       0.04134
     858.00       0.02585
     859.00       0.01704
     860.80       0.00843
     863.00       0.00393
     865.00       0.00206
     871.00       0.00048
     879.00       0.00004
     895.00       0.00000
    1047.00       0.00000
