# WFC3 IR f105w total throughput
# File taken from http://www.stsci.edu/hst/wfc3/ins_performance/throughputs/Throughput_Tables/f105w.IR.tab
#
#  Thinned by galsim.utilities.thin_tabulated_values to a relative error of 1.e-3
#  with fast_search=False.
#
# Wavelength(nm)  Throughput(0-1)
     799.90       0.00000
     875.00       0.00018
     890.20       0.00116
     894.20       0.00426
     896.20       0.00812
     898.20       0.01644
     900.30       0.03546
     902.30       0.07235
     903.80       0.11902
     904.20       0.13149
     908.30       0.30089
     908.90       0.31783
     910.40       0.35835
     912.20       0.38513
     913.40       0.39433
     916.30       0.40626
     921.00       0.39850
     922.20       0.39521
     924.30       0.39475
     929.30       0.40910
     930.30       0.41106
     936.90       0.40919
     939.70       0.41586
     942.30       0.42396
     943.50       0.42575
     946.20       0.42635
     948.10       0.42232
     951.00       0.41884
     958.20       0.42746
     959.50       0.42629
     964.30       0.41771
     967.40       0.41962
     969.20       0.42428
     972.20       0.43343
     974.30       0.43720
     980.30       0.44099
     983.20       0.44805
     985.70       0.45568
     986.60       0.45767
     989.00       0.45886
     992.90       0.45028
     995.60       0.44483
     998.20       0.44459
    1004.40       0.45111
    1007.00       0.44719
    1012.30       0.43711
    1014.70       0.43837
    1016.80       0.44198
    1021.90       0.44970
    1028.30       0.45418
    1030.10       0.45872
    1036.30       0.48182
    1037.20       0.48365
    1040.00       0.48636
    1045.20       0.48046
    1046.30       0.47915
    1055.60       0.48639
    1057.30       0.48549
    1062.90       0.48034
    1071.40       0.48201
    1078.10       0.47988
    1080.30       0.48009
    1089.10       0.49468
    1091.30       0.49626
    1097.00       0.49547
    1103.60       0.49395
    1106.40       0.49178
    1116.50       0.47630
    1120.30       0.47478
    1124.30       0.47804
    1131.00       0.48735
    1150.00       0.50308
    1152.30       0.50200
    1158.90       0.49193
    1162.30       0.48978
    1164.90       0.49277
    1173.30       0.50888
    1176.30       0.51310
    1179.90       0.51417
    1183.70       0.50021
    1186.30       0.48564
    1188.30       0.48054
    1190.10       0.48674
    1192.80       0.50714
    1194.40       0.50748
    1195.80       0.46017
    1196.20       0.44658
    1198.80       0.26677
    1200.40       0.16292
    1201.30       0.12813
    1202.30       0.08947
    1203.20       0.07078
    1204.40       0.04719
    1206.30       0.02743
    1208.30       0.01607
    1210.40       0.00941
    1214.30       0.00352
    1221.50       0.00062
    1226.40       0.00005
    1295.40       0.00006
    1700.00       0.00007
