# WFC3 IR f160w total throughput
# File taken from http://www.stsci.edu/hst/wfc3/ins_performance/throughputs/Throughput_Tables/f160w.IR.tab
#
#  Thinned by galsim.utilities.thin_tabulated_values to a relative error of 1.e-3
#  with fast_search=False.
#
# Wavelength(nm)  Throughput(0-1)
     799.90       0.00000
     800.00       0.00006
    1281.80       0.00006
    1366.90       0.00016
    1378.40       0.00141
    1385.80       0.00601
    1390.40       0.01855
    1392.80       0.03874
    1394.40       0.06355
    1396.00       0.10502
    1397.40       0.16004
    1398.20       0.19559
    1400.90       0.34694
    1402.40       0.41793
    1404.40       0.47806
    1406.40       0.49848
    1407.40       0.50063
    1414.40       0.50289
    1416.40       0.50619
    1424.40       0.53751
    1428.40       0.54705
    1443.40       0.55130
    1446.30       0.55165
    1456.30       0.54075
    1458.70       0.53948
    1463.10       0.54307
    1470.00       0.55120
    1474.40       0.54909
    1478.20       0.54141
    1480.60       0.53585
    1484.50       0.52783
    1488.40       0.52546
    1492.40       0.52843
    1497.90       0.53785
    1500.40       0.54180
    1507.00       0.54707
    1514.40       0.54663
    1521.00       0.53842
    1526.20       0.52746
    1530.80       0.51671
    1536.40       0.51022
    1539.60       0.51100
    1550.10       0.52417
    1552.10       0.52533
    1556.10       0.52577
    1563.90       0.52386
    1575.80       0.52330
    1579.70       0.52075
    1590.00       0.51440
    1596.20       0.51089
    1608.50       0.49447
    1610.90       0.49223
    1612.50       0.49114
    1624.40       0.49201
    1628.80       0.48521
    1630.80       0.48060
    1638.40       0.46015
    1642.40       0.45956
    1644.40       0.46226
    1646.00       0.46555
    1650.50       0.47649
    1654.40       0.47800
    1657.00       0.47461
    1662.30       0.45948
    1664.10       0.45531
    1672.50       0.44494
    1674.00       0.43965
    1681.30       0.40352
    1682.40       0.39808
    1684.10       0.37614
    1685.60       0.33330
    1686.20       0.31343
    1688.80       0.18593
    1690.40       0.11284
    1691.30       0.08708
    1692.50       0.05493
    1693.90       0.03561
    1696.50       0.01446
    1700.00       0.00540
