# ACS wfc_F435W total throughput
# File taken from http://www.stsci.edu/hst/acs/analysis/throughputs/
#
# Thinned by galsim.utilities.thin_tabulated_values to a relative error of 1.e-5
#
# Wavelength(nm)  Throughput(0-1)
     354.10       0.00026
     358.20       0.00101
     360.00       0.00282
     363.00       0.00919
     364.20       0.01454
     365.70       0.02326
     366.80       0.02696
     368.00       0.03217
     369.80       0.04658
     371.70       0.05783
     373.00       0.06580
     374.20       0.08144
     375.50       0.09486
     376.30       0.10123
     377.30       0.10754
     380.00       0.13025
     381.00       0.13135
     382.00       0.14457
     383.00       0.15006
     384.10       0.16375
     385.20       0.17131
     386.20       0.17978
     387.30       0.18620
     388.20       0.19241
     389.10       0.19681
     390.10       0.20740
     391.10       0.21310
     392.20       0.22602
     393.50       0.23708
     395.00       0.24737
     396.20       0.25379
     397.70       0.25905
     399.60       0.26637
     400.30       0.26815
     401.00       0.26803
     402.00       0.27837
     403.00       0.27855
     404.00       0.28937
     405.00       0.28652
     406.00       0.29806
     407.10       0.29818
     408.00       0.30321
     409.00       0.29529
     410.00       0.30533
     411.00       0.29755
     412.00       0.30371
     413.00       0.30157
     414.00       0.31361
     415.00       0.30998
     416.00       0.31620
     417.00       0.31218
     418.00       0.32151
     419.00       0.31762
     420.00       0.32456
     421.00       0.32246
     422.00       0.33739
     423.00       0.33024
     424.00       0.34799
     425.00       0.33473
     426.00       0.34924
     427.00       0.33441
     428.00       0.34688
     429.00       0.33650
     430.00       0.33730
     431.00       0.32546
     432.00       0.33950
     433.00       0.33813
     434.00       0.34635
     435.00       0.33779
     436.00       0.35194
     437.00       0.34973
     438.00       0.35702
     439.00       0.35097
     440.00       0.36109
     441.10       0.36086
     442.00       0.36354
     443.00       0.35124
     444.00       0.35576
     445.00       0.34662
     446.00       0.35429
     447.00       0.34961
     448.00       0.35667
     449.00       0.35382
     450.00       0.36011
     451.00       0.35004
     452.00       0.35568
     453.00       0.34807
     454.00       0.36413
     455.10       0.37102
     456.10       0.37422
     457.00       0.38054
     458.20       0.37374
     459.00       0.37101
     460.00       0.34514
     461.00       0.37310
     462.00       0.35573
     463.00       0.36383
     464.00       0.35896
     465.00       0.36175
     466.00       0.35396
     467.00       0.35974
     468.00       0.34646
     469.00       0.35387
     470.00       0.34482
     471.00       0.35241
     472.20       0.34547
     473.00       0.33930
     474.00       0.34852
     475.00       0.34168
     476.00       0.34952
     477.10       0.34941
     478.00       0.35314
     479.10       0.32753
     480.00       0.30165
     481.00       0.22083
     482.00       0.15900
     483.00       0.08585
     484.00       0.04326
     485.00       0.02074
     486.10       0.01020
     487.20       0.00509
     488.60       0.00274
     490.60       0.00125
     494.90       0.00026
     501.50       0.00002
     505.50       0.00001
