# HST CALSPEC model spectrum of Alpha Lyra (Vega)
# File taken from http://www.stsci.edu/hst/observatory/crds/calspec.html
# Filename: alpha_lyr_mod_001.fits
# Clipped on the red side at 2200 nm
# Units converted to nm and erg/s/cm^2/nm.
#
# Wavelength(nm)  Flux(erg/s/cm^2/nm)
     111.791199    2.672545e-10
     111.903296    3.959690e-10
     112.015503    4.377275e-10
     112.127795    2.997607e-10
     112.240198    2.365497e-10
     112.352698    4.189771e-10
     112.465405    5.511305e-10
     112.578101    5.808528e-10
     112.691003    5.122378e-10
     112.803894    3.388990e-10
     112.917004    2.363860e-10
     113.030200    3.569125e-10
     113.143506    5.368017e-10
     113.256995    5.686527e-10
     113.370496    4.955344e-10
     113.484204    5.075707e-10
     113.597900    6.230207e-10
     113.711804    6.320275e-10
     113.825806    4.704793e-10
     113.939905    2.602129e-10
     114.054102    2.371229e-10
     114.168506    3.483152e-10
     114.282898    3.718146e-10
     114.397498    3.573219e-10
     114.512195    4.356805e-10
     114.627002    4.778485e-10
     114.741895    4.564779e-10
     114.856897    4.556591e-10
     114.972095    4.529571e-10
     115.087305    4.339611e-10
     115.202698    3.992442e-10
     115.318201    3.715689e-10
     115.433801    3.827045e-10
     115.549500    3.574038e-10
     115.665405    2.680733e-10
     115.781299    1.886503e-10
     115.897400    1.915160e-10
     116.013599    2.484222e-10
     116.129895    2.679095e-10
     116.246301    2.563646e-10
     116.362805    2.254960e-10
     116.479504    1.991308e-10
     116.596301    1.815267e-10
     116.713098    1.546703e-10
     116.830200    1.289601e-10
     116.947302    1.090634e-10
     117.064502    9.096807e-11
     117.181897    7.952951e-11
     117.299402    7.228318e-11
     117.416895    6.597027e-11
     117.534705    6.132771e-11
     117.652502    5.820810e-11
     117.770398    5.770863e-11
     117.888501    5.817535e-11
     118.006702    5.828179e-11
     118.125000    5.954274e-11
     118.243396    6.200730e-11
     118.361902    6.429993e-11
     118.480603    6.700195e-11
     118.599402    6.991686e-11
     118.718298    7.035082e-11
     118.837305    6.423443e-11
     118.956396    5.589910e-11
     119.075696    5.580084e-11
     119.194995    5.599736e-11
     119.314600    4.431316e-11
     119.434204    4.087422e-11
     119.553894    5.171506e-11
     119.673706    5.558796e-11
     119.793701    5.428607e-11
     119.913794    5.334446e-11
     120.033997    5.122378e-11
     120.154395    5.179694e-11
     120.274805    5.139573e-11
     120.395398    4.839075e-11
     120.516101    4.446873e-11
     120.636902    4.031744e-11
     120.757800    3.612521e-11
     120.878894    3.153177e-11
     121.000098    2.640612e-11
     121.121399    2.078919e-11
     121.242798    1.480380e-11
     121.364404    8.949423e-12
     121.485999    4.525477e-12
     121.607800    3.853247e-12
     121.729700    7.600050e-12
     121.851794    1.371481e-11
     121.973901    2.049442e-11
     122.096204    2.733136e-11
     122.218604    3.392265e-11
     122.341101    4.005542e-11
     122.463794    4.584430e-11
     122.586499    5.151036e-11
     122.709399    5.683252e-11
     122.832397    6.235120e-11
     122.955603    6.823014e-11
     123.078796    7.390439e-11
     123.202197    7.977514e-11
     123.325696    8.499087e-11
     123.449402    9.080431e-11
     123.573096    9.669963e-11
     123.696997    1.009574e-10
     123.820996    9.817346e-11
     123.945203    8.744725e-11
     124.069397    8.294388e-11
     124.193799    8.531838e-11
     124.318298    8.924860e-11
     124.442896    9.702714e-11
     124.567700    1.048876e-10
     124.692603    1.123386e-10
     124.817603    1.231467e-10
     124.942700    1.351011e-10
     125.067896    1.486931e-10
     125.193298    1.689173e-10
     125.318799    1.917617e-10
     125.444495    2.228758e-10
     125.570203    2.625055e-10
     125.696106    3.027083e-10
     125.822095    3.258802e-10
     125.948303    2.754424e-10
     126.074500    2.339296e-10
     126.200903    3.714052e-10
     126.327405    4.631101e-10
     126.454102    3.993260e-10
     126.580798    5.861750e-10
     126.707703    1.023493e-09
     126.834802    1.509857e-09
     126.961902    1.884046e-09
     127.089197    2.084651e-09
     127.216602    2.351578e-09
     127.344104    2.646344e-09
     127.471802    2.580021e-09
     127.599597    2.705297e-09
     127.727502    4.651571e-09
     127.855603    7.784279e-09
     127.983704    8.029917e-09
     128.112000    1.064433e-08
     128.240503    1.503307e-08
     128.368994    1.694086e-08
     128.497705    1.779240e-08
     128.626501    1.671978e-08
     128.755505    1.405051e-08
     128.884595    1.332179e-08
     129.013794    1.545884e-08
     129.143103    1.762865e-08
     129.272595    1.875858e-08
     129.402197    1.871764e-08
     129.531897    1.794797e-08
     129.661694    1.873402e-08
     129.791699    1.972476e-08
     129.921899    1.894691e-08
     130.052100    1.738301e-08
     130.182495    1.276501e-08
     130.313000    1.000567e-08
     130.443604    7.217673e-09
     130.574402    8.228884e-09
     130.705298    1.488568e-08
     130.836304    1.473830e-08
     130.967505    1.135668e-08
     131.098804    1.499213e-08
     131.230200    2.111671e-08
     131.361804    2.578384e-08
     131.493506    2.659444e-08
     131.625305    2.428544e-08
     131.757202    2.552182e-08
     131.889294    2.728223e-08
     132.021497    2.857593e-08
     132.153894    2.991056e-08
     132.286401    2.865781e-08
     132.418994    2.912452e-08
     132.551697    3.123701e-08
     132.684595    2.961580e-08
     132.817603    2.665995e-08
     132.950806    2.640612e-08
     133.084094    3.059016e-08
     133.217505    3.205580e-08
     133.351001    2.618505e-08
     133.484705    1.721925e-08
     133.618506    1.962650e-08
     133.752502    3.034452e-08
     133.886597    3.591232e-08
     134.020801    3.633810e-08
     134.155200    3.695219e-08
     134.289697    3.787743e-08
     134.424304    3.706683e-08
     134.559094    3.586320e-08
     134.693896    3.592870e-08
     134.829004    3.607608e-08
     134.964099    3.562575e-08
     135.099402    3.609246e-08
     135.234900    3.623166e-08
     135.370496    3.624803e-08
     135.506201    3.585501e-08
     135.642004    3.499528e-08
     135.778003    3.491339e-08
     135.914099    3.371796e-08
     136.050403    3.434843e-08
     136.186804    3.551931e-08
     136.323303    3.471688e-08
     136.459900    3.378346e-08
     136.596704    3.386534e-08
     136.733704    3.168735e-08
     136.870801    3.054103e-08
     137.007996    3.261258e-08
     137.145300    3.534736e-08
     137.282800    3.595326e-08
     137.420398    3.464319e-08
     137.558203    3.441393e-08
     137.696106    3.569944e-08
     137.834094    3.427474e-08
     137.972302    3.150721e-08
     138.110596    3.007432e-08
     138.249097    3.084399e-08
     138.387695    3.039365e-08
     138.526404    2.941929e-08
     138.665295    3.192480e-08
     138.804297    3.327581e-08
     138.943506    3.375890e-08
     139.082800    3.262077e-08
     139.222205    3.065567e-08
     139.361804    3.129432e-08
     139.501501    3.292373e-08
     139.641296    3.246520e-08
     139.781299    3.150721e-08
     139.921399    3.192480e-08
     140.061694    3.325124e-08
     140.202100    3.417648e-08
     140.342700    3.667380e-08
     140.483398    3.968696e-08
     140.624194    4.071865e-08
     140.765198    4.049757e-08
     140.906299    3.915475e-08
     141.047498    3.748441e-08
     141.189001    3.922025e-08
     141.330505    4.089878e-08
     141.472205    3.936764e-08
     141.614001    4.000630e-08
     141.756006    4.178308e-08
     141.898096    4.318322e-08
     142.040295    4.437866e-08
     142.182703    4.544310e-08
     142.325305    4.441141e-08
     142.467896    4.292121e-08
     142.610803    4.537759e-08
     142.753699    4.665491e-08
     142.896899    4.616363e-08
     143.040100    4.252819e-08
     143.183496    3.672293e-08
     143.327002    3.577313e-08
     143.470703    3.976066e-08
     143.614600    4.448510e-08
     143.758496    4.726901e-08
     143.902600    4.757196e-08
     144.046899    4.803048e-08
     144.191296    4.730175e-08
     144.335901    4.725263e-08
     144.480603    4.841532e-08
     144.625403    4.898028e-08
     144.770398    4.826793e-08
     144.915503    4.898848e-08
     145.060803    4.979089e-08
     145.206201    4.986458e-08
     145.351794    4.961894e-08
     145.497498    4.907036e-08
     145.643396    4.961076e-08
     145.789404    5.037224e-08
     145.935498    5.071613e-08
     146.081799    4.979908e-08
     146.228296    4.681867e-08
     146.374902    4.628645e-08
     146.521594    4.821881e-08
     146.668506    4.473893e-08
     146.815601    4.228255e-08
     146.962695    4.456698e-08
     147.110095    4.606538e-08
     147.257495    4.566417e-08
     147.405200    4.305222e-08
     147.552905    4.360081e-08
     147.700903    4.615545e-08
     147.848901    4.788310e-08
     147.997095    4.795679e-08
     148.145496    4.453423e-08
     148.293994    4.397745e-08
     148.442700    4.549222e-08
     148.591504    4.820243e-08
     148.740503    5.156768e-08
     148.889600    5.307426e-08
     149.038794    5.220634e-08
     149.188306    4.702337e-08
     149.337805    4.384644e-08
     149.487500    4.792404e-08
     149.637402    5.315614e-08
     149.787402    5.515400e-08
     149.937598    5.442527e-08
     150.087903    5.311520e-08
     150.238306    5.321346e-08
     150.389001    5.455628e-08
     150.539697    5.420420e-08
     150.690601    5.175600e-08
     150.841699    4.840713e-08
     150.992896    4.681867e-08
     151.144299    4.654847e-08
     151.295801    4.753102e-08
     151.447498    4.823518e-08
     151.599304    4.972538e-08
     151.751294    5.320526e-08
     151.903406    5.374567e-08
     152.055701    5.298419e-08
     152.208105    5.345091e-08
     152.360706    5.335265e-08
     152.513501    4.798955e-08
     152.666394    4.182402e-08
     152.819397    4.828431e-08
     152.972595    5.501481e-08
     153.126001    5.216540e-08
     153.279504    4.252000e-08
     153.433203    4.312591e-08
     153.587000    5.065881e-08
     153.740906    5.378661e-08
     153.895105    5.569440e-08
     154.049304    5.500661e-08
     154.203796    5.373748e-08
     154.358398    5.475278e-08
     154.513098    5.359828e-08
     154.668005    5.311520e-08
     154.823096    5.460540e-08
     154.978296    5.590729e-08
     155.133606    5.271398e-08
     155.289197    4.744095e-08
     155.444800    4.359262e-08
     155.600696    4.374819e-08
     155.756702    4.559867e-08
     155.912805    3.627260e-08
     156.069104    2.363041e-08
     156.225598    2.566102e-08
     156.382202    3.743528e-08
     156.539001    4.743276e-08
     156.695898    4.914404e-08
     156.853003    4.991371e-08
     157.010205    5.185425e-08
     157.167603    5.066700e-08
     157.325195    4.414121e-08
     157.482898    4.313409e-08
     157.640796    5.011841e-08
     157.798804    5.411413e-08
     157.956995    5.517856e-08
     158.115405    5.563708e-08
     158.273901    5.790514e-08
     158.432495    5.554702e-08
     158.591394    5.289412e-08
     158.750403    5.327077e-08
     158.909497    5.459722e-08
     159.068799    5.521950e-08
     159.228296    5.589910e-08
     159.387903    5.634125e-08
     159.547705    5.738112e-08
     159.707605    6.070542e-08
     159.867700    6.095106e-08
     160.028003    5.754488e-08
     160.188501    5.672608e-08
     160.348999    5.835548e-08
     160.509802    5.750393e-08
     160.670703    5.544876e-08
     160.831799    5.439251e-08
     160.993005    5.462178e-08
     161.154395    5.391761e-08
