0.000000	1.000000
0.977040	0.999699
1.954079	0.998794
2.931119	0.997288
3.908158	0.995180
4.885198	0.992473
5.862237	0.989167
6.839277	0.985264
7.816317	0.980768
8.793356	0.975680
9.770396	0.970004
10.747435	0.963743
11.724475	0.956901
12.701514	0.949482
13.678554	0.941491
14.655594	0.932932
15.632633	0.923811
16.609673	0.914133
17.586712	0.903903
18.563752	0.893129
19.540791	0.881816
20.517831	0.869971
21.494871	0.857602
22.471910	0.844716
23.448950	0.831320
24.425989	0.817423
25.403029	0.803034
26.380068	0.788160
27.357108	0.772811
28.334148	0.756996
29.311187	0.740725
30.288227	0.724007
31.265266	0.706853
32.242306	0.689273
33.219345	0.671277
34.196385	0.652876
35.173425	0.634081
36.150464	0.614905
37.127504	0.595357
38.104543	0.575451
39.081583	0.555197
40.058622	0.534609
41.035662	0.513699
42.012702	0.492479
42.989741	0.470962
43.966781	0.449161
44.943820	0.427089
45.920860	0.404760
46.897899	0.382186
47.874939	0.359383
48.851979	0.336362
49.829018	0.313139
50.806058	0.289727
51.783097	0.266140
52.760137	0.242393
53.737176	0.218500
54.714216	0.194475
55.691255	0.170332
56.668295	0.146087
57.645335	0.121754
58.622374	0.097348
59.599414	0.072883
60.576453	0.048373
61.553493	0.023835
62.530532	-0.000717
63.507572	-0.025270
64.484612	-0.049807
65.461651	-0.074314
66.438691	-0.098776
67.415730	-0.123178
68.392770	-0.147507
69.369809	-0.171746
70.346849	-0.195882
71.323889	-0.219900
72.300928	-0.243785
73.277968	-0.267523
74.255007	-0.291100
75.232047	-0.314501
76.209086	-0.337713
77.186126	-0.360721
78.163166	-0.383512
79.140205	-0.406071
80.117245	-0.428386
81.094284	-0.450442
82.071324	-0.472227
83.048363	-0.493727
84.025403	-0.514929
85.002443	-0.535821
85.979482	-0.556390
86.956522	-0.576624
87.933561	-0.596509
88.910601	-0.616035
89.887640	-0.635190
90.864680	-0.653962
91.841720	-0.672339
92.818759	-0.690311
93.795799	-0.707867
94.772838	-0.724996
95.749878	-0.741688
96.726917	-0.757933
97.703957	-0.773721
98.680997	-0.789042
99.658036	-0.803888
100.635076	-0.818249
101.612115	-0.832117
102.589155	-0.845483
103.566194	-0.858339
104.543234	-0.870678
105.520274	-0.882491
106.497313	-0.893773
107.474353	-0.904516
108.451392	-0.914713
109.428432	-0.924359
110.405471	-0.933448
111.382511	-0.941974
112.359551	-0.949932
113.336590	-0.957317
114.313630	-0.964125
115.290669	-0.970352
116.267709	-0.975994
117.244748	-0.981047
118.221788	-0.985509
119.198828	-0.989376
120.175867	-0.992647
121.152907	-0.995320
122.129946	-0.997393
123.106986	-0.998864
124.084025	-0.999733
125.061065	-0.999999
126.038105	-0.999662
127.015144	-0.998723
127.992184	-0.997181
128.969223	-0.995039
129.946263	-0.992296
130.923302	-0.988955
131.900342	-0.985018
132.877382	-0.980487
133.854421	-0.975364
134.831461	-0.969654
135.808500	-0.963359
136.785540	-0.956484
137.762579	-0.949031
138.739619	-0.941007
139.716659	-0.932415
140.693698	-0.923261
141.670738	-0.913550
142.647777	-0.903288
143.624817	-0.892482
144.601856	-0.881138
145.578896	-0.869263
146.555936	-0.856863
147.532975	-0.843947
148.510015	-0.830522
149.487054	-0.816596
150.464094	-0.802178
151.441133	-0.787276
152.418173	-0.771900
153.395213	-0.756058
154.372252	-0.739761
155.349292	-0.723017
156.326331	-0.705837
157.303371	-0.688232
158.280410	-0.670212
159.257450	-0.651788
160.234489	-0.632971
161.211529	-0.613772
162.188569	-0.594204
163.165608	-0.574277
164.142648	-0.554003
165.119687	-0.533396
166.096727	-0.512467
167.073766	-0.491229
168.050806	-0.469695
169.027846	-0.447878
170.004885	-0.425791
170.981925	-0.403447
171.958964	-0.380860
172.936004	-0.358043
173.913043	-0.335010
174.890083	-0.311776
175.867123	-0.288353
176.844162	-0.264757
177.821202	-0.241001
178.798241	-0.217099
179.775281	-0.193067
180.752320	-0.168918
181.729360	-0.144668
182.706400	-0.120330
183.683439	-0.095920
184.660479	-0.071451
185.637518	-0.046940
186.614558	-0.022401
187.591597	0.002152
188.568637	0.026704
189.545677	0.051240
190.522716	0.075744
191.499756	0.100203
192.476795	0.124602
193.453835	0.148926
194.430874	0.173159
195.407914	0.197289
196.384954	0.221299
197.361993	0.245176
198.339033	0.268905
199.316072	0.292472
200.293112	0.315863
201.270151	0.339063
202.247191	0.362059
203.224231	0.384837
204.201270	0.407382
205.178310	0.429682
206.155349	0.451723
207.132389	0.473491
208.109428	0.494974
209.086468	0.516159
210.063508	0.537032
211.040547	0.557582
212.017587	0.577795
212.994626	0.597660
213.971666	0.617165
214.948705	0.636298
215.925745	0.655047
216.902785	0.673401
217.879824	0.691349
218.856864	0.708880
219.833903	0.725984
220.810943	0.742650
221.787982	0.758868
222.765022	0.774629
223.742062	0.789923
224.719101	0.804741
225.696141	0.819073
226.673180	0.832912
227.650220	0.846248
228.627259	0.859074
229.604299	0.871382
230.581339	0.883165
231.558378	0.894416
232.535418	0.905127
233.512457	0.915292
234.489497	0.924906
235.466536	0.933962
236.443576	0.942455
237.420616	0.950379
238.397655	0.957731
239.374695	0.964505
240.351734	0.970698
241.328774	0.976305
242.305813	0.981324
243.282853	0.985751
244.259893	0.989584
245.236932	0.992820
246.213972	0.995458
247.191011	0.997495
248.168051	0.998931
249.145090	0.999765
250.122130	0.999996
251.099170	0.999624
252.076209	0.998649
253.053249	0.997073
254.030288	0.994895
255.007328	0.992117
255.984367	0.988741
256.961407	0.984769
257.938447	0.980204
258.915486	0.975047
259.892526	0.969302
