Wave     R062      Z087      Y106      J129      H158      F184      W146      K213      SNPrism   Grism_1stOrder  Grism_0thOrder
0.565    1.7976    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.570    1.8571    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.575    1.9168    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.580    1.9751    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.585    2.0308    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.590    2.0826    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.595    2.1289    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.600    2.1685    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.605    2.1981    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.610    2.2237    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.615    2.2439    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.620    2.2607    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.625    2.2756    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.630    2.2924    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.635    2.3062    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.640    2.3169    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.645    2.3247    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.650    2.3291    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.655    2.3300    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.660    2.3263    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.665    2.3226    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.670    2.3170    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.675    2.3124    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.680    2.3136    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.685    2.3150    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.690    2.3167    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.695    2.3175    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.700    2.3169    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.705    2.3121    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.710    2.3060    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.715    2.2999    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.720    2.2950    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.725    2.2927    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.730    2.2912    0.0009    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.735    2.2861    0.0057    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
0.740    2.2666    0.0282    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0007    0.0000    0.0000
0.745    2.1979    0.1058    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0979    0.0000    0.0000
0.750    2.0147    0.3024    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.1241    0.0000    0.0000
0.755    1.6705    0.6726    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.1738    0.0000    0.0000
0.760    1.1868    1.1868    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.3023    0.0000    0.0000
0.765    0.6909    1.7157    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.3349    0.0000    0.0000
0.770    0.3182    2.1195    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.3651    0.0000    0.0000
0.775    0.1131    2.3496    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.3894    0.0000    0.0000
0.780    0.0304    2.4430    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.3997    0.0000    0.0000
0.785    0.0061    2.4721    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.4045    0.0000    0.0000
0.790    0.0009    2.4787    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.4058    0.0000    0.0000
0.795    0.0001    2.4807    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.4070    0.0000    0.0000
0.800    0.0000    2.4840    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.4100    0.0000    0.0000
0.805    0.0000    2.4948    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.4205    0.0000    0.0000
0.810    0.0000    2.5075    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.4328    0.0000    0.0000
0.815    0.0000    2.5209    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.4459    0.0000    0.0000
0.820    0.0000    2.5345    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.4590    0.0000    0.0000
0.825    0.0000    2.5484    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.4726    0.0000    0.0000
0.830    0.0000    2.5569    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.4807    0.0000    0.0000
0.835    0.0000    2.5638    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.4874    0.0000    0.0000
0.840    0.0000    2.5721    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.4955    0.0000    0.0000
0.845    0.0000    2.5809    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.5041    0.0000    0.0000
0.850    0.0000    2.5932    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.5160    0.0000    0.0000
0.855    0.0000    2.6103    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.5326    0.0000    0.0000
0.860    0.0000    2.6284    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.5501    0.0000    0.0000
0.865    0.0000    2.6491    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.5703    0.0000    0.0000
0.870    0.0000    2.6675    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.5880    0.0000    0.0000
0.875    0.0000    2.6873    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.6073    0.0000    0.0000
0.880    0.0000    2.7067    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.6261    0.0000    0.0000
0.885    0.0000    2.7256    0.0001    0.0000    0.0000    0.0000    0.0001    0.0000    2.6444    0.0000    0.0000
0.890    0.0000    2.7435    0.0009    0.0000    0.0000    0.0000    0.0009    0.0000    2.6618    0.0000    0.0000
0.895    0.0000    2.7585    0.0044    0.0000    0.0000    0.0000    0.0044    0.0000    2.6763    0.0000    0.0000
0.900    0.0000    2.7714    0.0178    0.0000    0.0000    0.0000    0.0178    0.0000    2.6889    0.0000    0.0000
0.905    0.0000    2.7844    0.0594    0.0000    0.0000    0.0000    0.0594    0.0000    2.7015    0.0000    0.0000
0.910    0.0000    2.7957    0.1639    0.0000    0.0000    0.0000    0.1639    0.0000    2.7124    0.0000    0.0000
0.915    0.0000    2.8053    0.3771    0.0000    0.0000    0.0000    0.3771    0.0000    2.7218    0.0000    0.0000
