X0             Y0             Theta          X              Y              
15.0000        45.0000        5.4986         20.0034        40.0025        
15.0000        45.0000        -0.6102        20.0046        41.5006        
15.0000        45.0000        -0.4358        20.0047        42.6694        
15.0000        45.0000        -0.2614        20.0049        43.6609        
15.0000        45.0000        -0.0870        20.0049        44.5633        
15.0000        45.0000        0.0874         20.0051        45.4384        
15.0000        45.0000        0.2618         20.0052        46.3410        
15.0000        45.0000        0.4362         20.0053        47.3330        
15.0000        45.0000        0.6106         20.0055        48.5026        
15.0000        45.0000        0.7850         20.0057        50.0003        
15.0000        45.0000        0.9595         18.5048        50.0009        
15.0000        45.0000        1.1341         17.3343        50.0008        
15.0000        45.0000        1.3086         16.3419        50.0007        
15.0000        45.0000        1.4832         15.4393        50.0006        
15.0000        45.0000        1.6577         14.5642        50.0006        
15.0000        45.0000        1.8323         13.6618        50.0006        
15.0000        45.0000        2.0068         12.6699        50.0006        
15.0000        45.0000        2.1814         11.5006        50.0005        
15.0000        45.0000        2.3560         10.0020        50.0005        
15.0000        45.0000        2.5305         10.0017        48.5015        
15.0000        45.0000        2.7051         10.0016        47.3320        
15.0000        45.0000        2.8796         10.0017        46.3402        
15.0000        45.0000        3.0542         10.0016        45.4380        
15.0000        55.0000        3.2289         10.0017        54.5626        
15.0000        55.0000        3.4034         10.0018        53.6605        
15.0000        55.0000        3.5780         10.0017        52.6689        
15.0000        55.0000        3.7525         10.0017        51.4995        
15.0000        55.0000        3.9271         10.0017        50.0009        
15.0000        55.0000        4.1017         11.5007        50.0007        
15.0000        55.0000        4.2763         12.6702        50.0006        
15.0000        55.0000        4.4509         13.6621        50.0008        
15.0000        55.0000        4.6255         14.5645        50.0008        
15.0000        55.0000        4.8001         15.4395        50.0008        
15.0000        55.0000        4.9747         16.3422        50.0008        
15.0000        55.0000        5.1493         17.3345        50.0008        
15.0000        55.0000        5.3239         18.5050        50.0010        
15.0000        55.0000        5.4985         20.0056        50.0011        
15.0000        55.0000        -0.6103        20.0057        51.4989        
15.0000        55.0000        -0.4360        20.0058        52.6681        
15.0000        55.0000        -0.2616        20.0058        53.6599        
15.0000        55.0000        -0.0872        20.0058        54.5624        
15.0000        55.0000        0.0872         20.0058        55.4376        
15.0000        55.0000        0.2616         20.0058        56.3401        
15.0000        55.0000        0.4360         20.0058        57.3319        
15.0000        55.0000        0.6103         20.0057        58.5011        
15.0000        55.0000        0.7847         20.0056        59.9987        
15.0000        55.0000        0.9593         18.5050        59.9990        
15.0000        55.0000        1.1339         17.3345        59.9992        
15.0000        55.0000        1.3085         16.3422        59.9992        
15.0000        55.0000        1.4831         15.4395        59.9992        
15.0000        55.0000        1.6577         14.5645        59.9992        
15.0000        55.0000        1.8323         13.6621        59.9992        
15.0000        55.0000        2.0069         12.6702        59.9994        
15.0000        55.0000        2.1815         11.5007        59.9993        
15.0000        55.0000        2.3561         10.0017        59.9994        
15.0000        55.0000        2.5306         10.0017        58.5005        
15.0000        55.0000        2.7052         10.0017        57.3311        
15.0000        55.0000        2.8798         10.0018        56.3395        
15.0000        55.0000        3.0543         10.0017        55.4374        
15.0000        65.0000        3.2290         10.0016        64.5621        
15.0000        65.0000        3.4035         10.0016        63.6600        
15.0000        65.0000        3.5781         10.0017        62.6683        
15.0000        65.0000        3.7526         10.0017        61.4988        
15.0000        65.0000        3.9272         10.0017        60.0002        
15.0000        65.0000        4.1018         11.5003        59.9995        
15.0000        65.0000        4.2763         12.6698        59.9995        
15.0000        65.0000        4.4509         13.6617        59.9994        
15.0000        65.0000        4.6254         14.5641        59.9994        
15.0000        65.0000        4.8000         15.4393        59.9994        
15.0000        65.0000        4.9746         16.3420        59.9993        
15.0000        65.0000        5.1491         17.3345        59.9993        
15.0000        65.0000        5.3237         18.5050        59.9991        
15.0000        65.0000        5.4983         20.0054        59.9990        
15.0000        65.0000        -0.6105        20.0055        61.4979        
15.0000        65.0000        -0.4361        20.0054        62.6675        
15.0000        65.0000        -0.2617        20.0052        63.6596        
15.0000        65.0000        -0.0873        20.0051        64.5622        
15.0000        65.0000        0.0872         20.0050        65.4373        
15.0000        65.0000        0.2616         20.0049        66.3398        
15.0000        65.0000        0.4360         20.0048        67.3316        
15.0000        65.0000        0.6104         20.0046        68.5008        
15.0000        65.0000        0.7848         20.0043        69.9946        
15.0000        65.0000        0.9594         18.5034        69.9979        
15.0000        65.0000        1.1340         17.3334        69.9980        
15.0000        65.0000        1.3086         16.3413        69.9982        
15.0000        65.0000        1.4832         15.4389        69.9982        
15.0000        65.0000        1.6578         14.5640        69.9983        
15.0000        65.0000        1.8324         13.6617        69.9984        
15.0000        65.0000        2.0070         12.6700        69.9984        
15.0000        65.0000        2.1816         11.5005        69.9986        
15.0000        65.0000        2.3562         10.0017        69.9985        
15.0000        65.0000        2.5307         10.0015        68.4998        
15.0000        65.0000        2.7053         10.0015        67.3306        
15.0000        65.0000        2.8799         10.0015        66.3390        
15.0000        65.0000        3.0544         10.0015        65.4369        
15.0000        75.0000        3.2290         10.0012        74.5617        
15.0000        75.0000        3.4036         10.0013        73.6595        
15.0000        75.0000        3.5782         10.0013        72.6677        
15.0000        75.0000        3.7527         10.0013        71.4980        
15.0000        75.0000        3.9273         10.0014        69.9988        
15.0000        75.0000        4.1018         11.4997        69.9986        
15.0000        75.0000        4.2763         12.6691        69.9986        
15.0000        75.0000        4.4508         13.6608        69.9986        
15.0000        75.0000        4.6253         14.5632        69.9984        
15.0000        75.0000        4.7998         15.4382        69.9984        
15.0000        75.0000        4.9743         16.3407        69.9982        
15.0000        75.0000        5.1488         17.3328        69.9981        
15.0000        75.0000        5.3233         18.5026        69.9980        
15.0000        75.0000        5.4978         19.9985        69.9976        
15.0000        75.0000        -0.6109        20.0041        71.4956        
15.0000        75.0000        -0.4365        20.0038        72.6660        
15.0000        75.0000        -0.2620        20.0037        73.6583        
15.0000        75.0000        -0.0875        20.0035        74.5610        
15.0000        75.0000        0.0870         20.0034        75.4362        
15.0000        75.0000        0.2614         20.0033        76.3387        
15.0000        75.0000        0.4359         20.0031        77.3304        
15.0000        75.0000        0.6104         20.0030        78.4996        
15.0000        75.0000        0.7849         20.0027        79.9973        
15.0000        75.0000        0.9595         18.5029        79.9977        
15.0000        75.0000        1.1341         17.3330        79.9979        
15.0000        75.0000        1.3087         16.3410        79.9979        
15.0000        75.0000        1.4833         15.4386        79.9980        
15.0000        75.0000        1.6579         14.5637        79.9981        
15.0000        75.0000        1.8325         13.6615        79.9981        
15.0000        75.0000        2.0071         12.6696        79.9983        
15.0000        75.0000        2.1817         11.5001        79.9983        
15.0000        75.0000        2.3563         10.0010        79.9984        
15.0000        75.0000        2.5308         10.0011        78.4996        
15.0000        75.0000        2.7054         10.0010        77.3303        
15.0000        75.0000        2.8799         10.0011        76.3387        
15.0000        75.0000        3.0545         10.0012        75.4365        
15.0000        85.0000        3.2290         10.0009        84.5618        
15.0000        85.0000        3.4036         10.0008        83.6595        
15.0000        85.0000        3.5781         10.0008        82.6676        
15.0000        85.0000        3.7527         10.0010        81.4980        
15.0000        85.0000        3.9272         10.0010        79.9988        
15.0000        85.0000        4.1017         11.4995        79.9984        
15.0000        85.0000        4.2762         12.6689        79.9984        
15.0000        85.0000        4.4508         13.6607        79.9983        
15.0000        85.0000        4.6253         14.5631        79.9983        
15.0000        85.0000        4.7998         15.4381        79.9982        
15.0000        85.0000        4.9743         16.3407        79.9982        
15.0000        85.0000        5.1488         17.3328        79.9980        
15.0000        85.0000        5.3233         18.5027        79.9979        
15.0000        85.0000        5.4978         20.0019        79.9976        
15.0000        85.0000        -0.6109        20.0026        81.4969        
15.0000        85.0000        -0.4364        20.0024        82.6669        
15.0000        85.0000        -0.2619        20.0022        83.6591        
15.0000        85.0000        -0.0874        20.0022        84.5617        
15.0000        85.0000        0.0871         20.0020        85.4368        
15.0000        85.0000        0.2616         20.0019        86.3392        
15.0000        85.0000        0.4361         20.0018        87.3310        
15.0000        85.0000        0.6106         20.0017        88.5003        
15.0000        85.0000        0.7851         20.0017        89.9968        
15.0000        85.0000        0.9597         18.5017        89.9983        
15.0000        85.0000        1.1343         17.3321        89.9985        
15.0000        85.0000        1.3088         16.3402        89.9985        
15.0000        85.0000        1.4834         15.4380        89.9985        
15.0000        85.0000        1.6580         14.5631        89.9986        
15.0000        85.0000        1.8325         13.6609        89.9986        
15.0000        85.0000        2.0071         12.6691        89.9987        
15.0000        85.0000        2.1817         11.4996        89.9987        
15.0000        85.0000        2.3563         10.0010        89.9988        
15.0000        85.0000        2.5308         10.0007        88.4998        
15.0000        85.0000        2.7054         10.0008        87.3305        
15.0000        85.0000        2.8799         10.0007        86.3389        
15.0000        85.0000        3.0545         10.0009        85.4366        
15.0000        95.0000        3.2290         10.0005        94.5621        
15.0000        95.0000        3.4035         10.0006        93.6597        
15.0000        95.0000        3.5781         10.0006        92.6678        
15.0000        95.0000        3.7526         10.0007        91.4981        
15.0000        95.0000        3.9272         10.0006        89.9992        
15.0000        95.0000        4.1017         11.4994        89.9988        
15.0000        95.0000        4.2762         12.6689        89.9989        
15.0000        95.0000        4.4507         13.6606        89.9988        
15.0000        95.0000        4.6252         14.5630        89.9988        
15.0000        95.0000        4.7997         15.4380        89.9987        
15.0000        95.0000        4.9743         16.3405        89.9986        
15.0000        95.0000        5.1488         17.3324        89.9986        
15.0000        95.0000        5.3233         18.5023        89.9985        
15.0000        95.0000        5.4978         20.0016        89.9983        
15.0000        95.0000        -0.6109        20.0015        91.4977        
15.0000        95.0000        -0.4364        20.0015        92.6675        
15.0000        95.0000        -0.2619        20.0014        93.6595        
15.0000        95.0000        -0.0874        20.0013        94.5620        
15.0000        95.0000        0.0872         20.0012        95.4370        
15.0000        95.0000        0.2617         20.0012        96.3394        
15.0000        95.0000        0.4362         20.0013        97.3312        
15.0000        95.0000        0.6107         20.0012        98.5006        
15.0000        95.0000        0.7852         20.0011        99.9987        
15.0000        95.0000        0.9598         18.5019        99.9993        
15.0000        95.0000        1.1343         17.3322        99.9994        
15.0000        95.0000        1.3089         16.3403        99.9994        
15.0000        95.0000        1.4834         15.4379        99.9995        
15.0000        95.0000        1.6580         14.5630        99.9994        
15.0000        95.0000        1.8325         13.6607        99.9995        
15.0000        95.0000        2.0071         12.6690        99.9995        
15.0000        95.0000        2.1816         11.4995        99.9995        
15.0000        95.0000        2.3562         10.0006        99.9995        
15.0000        95.0000        2.5307         10.0005        98.5005        
15.0000        95.0000        2.7053         10.0005        97.3310        
15.0000        95.0000        2.8799         10.0005        96.3393        
15.0000        95.0000        3.0544         10.0006        95.4370        
25.0000        15.0000        3.2288         20.0013        14.5632        
25.0000        15.0000        3.4033         20.0014        13.6609        
25.0000        15.0000        3.5779         20.0013        12.6691        
25.0000        15.0000        3.7525         20.0013        11.4995        
25.0000        15.0000        3.9271         20.0012        10.0022        
25.0000        15.0000        4.1016         21.5003        10.0006        
25.0000        15.0000        4.2762         22.6696        10.0007        
25.0000        15.0000        4.4507         23.6613        10.0008        
25.0000        15.0000        4.6253         24.5634        10.0007        
25.0000        15.0000        4.7998         25.4383        10.0009        
25.0000        15.0000        4.9744         26.3406        10.0008        
25.0000        15.0000        5.1489         27.3324        10.0008        
25.0000        15.0000        5.3235         28.5021        10.0010        
25.0000        15.0000        5.4980         30.0012        10.0010        
25.0000        15.0000        -0.6106        30.0016        11.4995        
25.0000        15.0000        -0.4361        30.0016        12.6689        
25.0000        15.0000        -0.2616        30.0017        13.6607        
25.0000        15.0000        -0.0871        30.0017        14.5631        
25.0000        15.0000        0.0874         30.0019        15.4382        
25.0000        15.0000        0.2619         30.0020        16.3407        
25.0000        15.0000        0.4364         30.0020        17.3328        
25.0000        15.0000        0.6109         30.0022        18.5028        
25.0000        15.0000        0.7854         30.0024        20.0015        
25.0000        15.0000        0.9599         28.5031        20.0026        
25.0000        15.0000        1.1344         27.3331        20.0024        
25.0000        15.0000        1.3089         26.3410        20.0022        
25.0000        15.0000        1.4834         25.4384        20.0020        
25.0000        15.0000        1.6579         24.5634        20.0020        
25.0000        15.0000        1.8324         23.6610        20.0019        
25.0000        15.0000        2.0069         22.6693        20.0018        
25.0000        15.0000        2.1814         21.5000        20.0018        
25.0000        15.0000        2.3558         20.0017        20.0017        
25.0000        15.0000        2.5304         20.0016        18.5021        
25.0000        15.0000        2.7050         20.0016        17.3323        
25.0000        15.0000        2.8796         20.0016        16.3404        
25.0000        15.0000        3.0542         20.0015        15.4381        
25.0000        25.0000        3.2286         20.0022        24.5641        
25.0000        25.0000        3.4032         20.0021        23.6619        
25.0000        25.0000        3.5778         20.0019        22.6703        
25.0000        25.0000        3.7524         20.0019        21.5009        
25.0000        25.0000        3.9270         20.0017        20.0020        
25.0000        25.0000        4.1016         21.5006        20.0019        
25.0000        25.0000        4.2762         22.6701        20.0020        
25.0000        25.0000        4.4508         23.6618        20.0021        
25.0000        25.0000        4.6254         24.5640        20.0022        
25.0000        25.0000        4.8000         25.4388        20.0023        
25.0000        25.0000        4.9746         26.3411        20.0024        
25.0000        25.0000        5.1492         27.3331        20.0025        
25.0000        25.0000        5.3238         28.5031        20.0026        
25.0000        25.0000        5.4984         30.0019        20.0030        
25.0000        25.0000        -0.6103        30.0027        21.5010        
25.0000        25.0000        -0.4359        30.0028        22.6699        
25.0000        25.0000        -0.2614        30.0030        23.6615        
25.0000        25.0000        -0.0869        30.0032        24.5639        
25.0000        25.0000        0.0875         30.0034        25.4390        
25.0000        25.0000        0.2620         30.0036        26.3418        
25.0000        25.0000        0.4365         30.0038        27.3341        
25.0000        25.0000        0.6109         30.0041        28.5044        
25.0000        25.0000        0.7854         30.0046        30.0041        
25.0000        25.0000        0.9599         28.5044        30.0041        
25.0000        25.0000        1.1343         27.3341        30.0038        
25.0000        25.0000        1.3088         26.3417        30.0034        
25.0000        25.0000        1.4833         25.4390        30.0032        
25.0000        25.0000        1.6577         24.5639        30.0032        
