X0             Y0             Theta          X              Y              
15.0000        45.0000        5.4983         20.0029        40.0018        
15.0000        45.0000        -0.6105        20.0032        41.4997        
15.0000        45.0000        -0.4360        20.0033        42.6688        
15.0000        45.0000        -0.2616        20.0034        43.6605        
15.0000        45.0000        -0.0871        20.0035        44.5629        
15.0000        45.0000        0.0873         20.0036        45.4380        
15.0000        45.0000        0.2618         20.0036        46.3405        
15.0000        45.0000        0.4362         20.0037        47.3324        
15.0000        45.0000        0.6106         20.0039        48.5021        
15.0000        45.0000        0.7851         20.0040        50.0003        
15.0000        45.0000        0.9596         18.5036        50.0005        
15.0000        45.0000        1.1342         17.3335        50.0005        
15.0000        45.0000        1.3087         16.3413        50.0004        
15.0000        45.0000        1.4833         15.4387        50.0005        
15.0000        45.0000        1.6578         14.5637        50.0004        
15.0000        45.0000        1.8324         13.6613        50.0003        
15.0000        45.0000        2.0069         12.6695        50.0004        
15.0000        45.0000        2.1815         11.5000        50.0003        
15.0000        45.0000        2.3560         10.0012        50.0004        
15.0000        45.0000        2.5306         10.0012        48.5013        
15.0000        45.0000        2.7051         10.0012        47.3318        
15.0000        45.0000        2.8797         10.0012        46.3400        
15.0000        45.0000        3.0542         10.0011        45.4378        
15.0000        55.0000        3.2289         10.0012        54.5626        
15.0000        55.0000        3.4034         10.0012        53.6605        
15.0000        55.0000        3.5780         10.0012        52.6689        
15.0000        55.0000        3.7525         10.0012        51.4995        
15.0000        55.0000        3.9270         10.0012        50.0007        
15.0000        55.0000        4.1016         11.5000        50.0005        
15.0000        55.0000        4.2762         12.6696        50.0006        
15.0000        55.0000        4.4508         13.6614        50.0005        
15.0000        55.0000        4.6254         14.5638        50.0005        
15.0000        55.0000        4.7999         15.4389        50.0006        
15.0000        55.0000        4.9745         16.3414        50.0006        
15.0000        55.0000        5.1491         17.3337        50.0006        
15.0000        55.0000        5.3237         18.5038        50.0007        
15.0000        55.0000        5.4983         20.0038        50.0008        
15.0000        55.0000        -0.6105        20.0040        51.4990        
15.0000        55.0000        -0.4361        20.0040        52.6683        
15.0000        55.0000        -0.2616        20.0041        53.6601        
15.0000        55.0000        -0.0872        20.0041        54.5625        
15.0000        55.0000        0.0872         20.0041        55.4376        
15.0000        55.0000        0.2617         20.0040        56.3400        
15.0000        55.0000        0.4361         20.0040        57.3319        
15.0000        55.0000        0.6105         20.0040        58.5011        
15.0000        55.0000        0.7849         20.0040        59.9988        
15.0000        55.0000        0.9595         18.5037        59.9994        
15.0000        55.0000        1.1341         17.3335        59.9993        
15.0000        55.0000        1.3087         16.3413        59.9994        
15.0000        55.0000        1.4833         15.4388        59.9994        
15.0000        55.0000        1.6578         14.5638        59.9995        
15.0000        55.0000        1.8324         13.6614        59.9995        
15.0000        55.0000        2.0070         12.6695        59.9996        
15.0000        55.0000        2.1816         11.5000        59.9995        
15.0000        55.0000        2.3561         10.0019        59.9996        
15.0000        55.0000        2.5307         10.0012        58.5005        
15.0000        55.0000        2.7052         10.0012        57.3311        
15.0000        55.0000        2.8798         10.0012        56.3395        
15.0000        55.0000        3.0543         10.0012        55.4374        
15.0000        65.0000        3.2289         10.0011        64.5622        
15.0000        65.0000        3.4035         10.0012        63.6600        
15.0000        65.0000        3.5780         10.0012        62.6683        
15.0000        65.0000        3.7526         10.0012        61.4989        
15.0000        65.0000        3.9271         10.0012        59.9999        
