X0             Y0             Theta          X              Y              
35.0000        35.0000        3.2984         30.0028        34.2101        
35.0000        35.0000        3.6127         30.0026        32.4547        
35.0000        35.0000        3.9270         30.0024        30.0025        
35.0000        35.0000        4.2413         32.4547        30.0026        
35.0000        35.0000        4.5556         34.2101        30.0028        
35.0000        35.0000        4.8699         35.7938        30.0030        
35.0000        35.0000        5.1843         37.5499        30.0033        
35.0000        35.0000        5.4986         40.0021        30.0038        
35.0000        35.0000        -0.4706        40.0035        32.4546        
35.0000        35.0000        -0.1566        40.0038        34.2099        
35.0000        35.0000        0.1574         40.0040        35.7942        
35.0000        35.0000        0.4714         40.0044        37.5510        
35.0000        35.0000        0.7854         40.0051        40.0048        
35.0000        35.0000        1.0994         37.5507        40.0044        
35.0000        35.0000        1.4134         35.7941        40.0039        
35.0000        35.0000        1.7274         34.2099        40.0036        
35.0000        35.0000        2.0414         32.4545        40.0034        
35.0000        35.0000        2.3554         30.0067        40.0030        
35.0000        35.0000        2.6697         30.0033        37.5499        
35.0000        35.0000        2.9840         30.0032        35.7938        
35.0000        45.0000        3.2984         30.0044        44.2102        
35.0000        45.0000        3.6127         30.0040        42.4550        
35.0000        45.0000        3.9271         30.0037        40.0047        
35.0000        45.0000        4.2414         32.4560        40.0035        
35.0000        45.0000        4.5558         34.2111        40.0038        
35.0000        45.0000        4.8701         35.7947        40.0041        
35.0000        45.0000        5.1845         37.5507        40.0046        
35.0000        45.0000        5.4988         40.0047        40.0053        
35.0000        45.0000        -0.4704        40.0057        42.4545        
35.0000        45.0000        -0.1565        40.0062        44.2099        
35.0000        45.0000        0.1574         40.0066        45.7945        
35.0000        45.0000        0.4713         40.0073        47.5517        
35.0000        45.0000        0.7852         40.0082        50.0061        
35.0000        45.0000        1.0992         37.5523        50.0051        
35.0000        45.0000        1.4133         35.7950        50.0045        
35.0000        45.0000        1.7273         34.2105        50.0040        
35.0000        45.0000        2.0413         32.4550        50.0037        
35.0000        45.0000        2.3553         30.0057        50.0033        
35.0000        45.0000        2.6697         30.0049        47.5493        
35.0000        45.0000        2.9840         30.0047        45.7936        
35.0000        55.0000        3.2985         30.0061        54.2098        
35.0000        55.0000        3.6129         30.0058        52.4546        
35.0000        55.0000        3.9274         30.0054        50.0093        
35.0000        55.0000        4.2418         32.4581        50.0038        
35.0000        55.0000        4.5561         34.2130        50.0042        
35.0000        55.0000        4.8705         35.7965        50.0047        
35.0000        55.0000        5.1849         37.5529        50.0051        
35.0000        55.0000        5.4993         40.0081        50.0063        
35.0000        55.0000        -0.4702        40.0091        52.4543        
35.0000        55.0000        -0.1565        40.0098        54.2096        
35.0000        55.0000        0.1573         40.0105        55.7945        
35.0000        55.0000        0.4710         40.0112        57.5517        
35.0000        55.0000        0.7847         40.0123        60.0050        
35.0000        55.0000        1.0988         37.5545        60.0043        
35.0000        55.0000        1.4129         35.7966        60.0038        
35.0000        55.0000        1.7270         34.2120        60.0033        
