   Wave      Z087      Y106      J129      H158      F184      W149    SNPrism   BAO-Grism
     0.650    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.2537    0.0000
     0.655    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.2647    0.0000
     0.660    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.2758    0.0000
     0.665    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.2870    0.0000
     0.670    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.2981    0.0000
     0.675    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3092    0.0000
     0.680    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3201    0.0000
     0.685    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3309    0.0000
     0.690    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3413    0.0000
     0.695    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3513    0.0000
     0.700    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3609    0.0000
     0.705    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3695    0.0000
     0.710    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3776    0.0000
     0.715    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3852    0.0000
     0.720    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3924    0.0000
     0.725    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3993    0.0000
     0.730    0.0002    0.0000    0.0000    0.0000    0.0000    0.0000    0.4058    0.0000
     0.735    0.0011    0.0000    0.0000    0.0000    0.0000    0.0000    0.4120    0.0000
     0.740    0.0056    0.0000    0.0000    0.0000    0.0000    0.0000    0.4180    0.0000
     0.745    0.0210    0.0000    0.0000    0.0000    0.0000    0.0000    0.4238    0.0000
     0.750    0.0604    0.0000    0.0000    0.0000    0.0000    0.0000    0.4296    0.0000
     0.755    0.1341    0.0000    0.0000    0.0000    0.0000    0.0000    0.4356    0.0000
     0.760    0.2359    0.0000    0.0000    0.0000    0.0000    0.0000    0.4414    0.0000
     0.765    0.3397    0.0000    0.0000    0.0000    0.0000    0.0000    0.4472    0.0000
     0.770    0.4183    0.0000    0.0000    0.0000    0.0000    0.0000    0.4530    0.0000
