   Wave      Z087      Y106      J129      H158      F184      W149    SNPrism   BAO-Grism
     1.825    0.0000    0.0000    0.0000    0.0044    0.6191    0.6191    0.6376    0.4157
     1.830    0.0000    0.0000    0.0000    0.0022    0.6155    0.6155    0.6333    0.4119
     1.835    0.0000    0.0000    0.0000    0.0010    0.6119    0.6119    0.6291    0.4083
     1.840    0.0000    0.0000    0.0000    0.0005    0.6085    0.6085    0.6251    0.4047
     1.845    0.0000    0.0000    0.0000    0.0002    0.6053    0.6053    0.6216    0.4014
     1.850    0.0000    0.0000    0.0000    0.0001    0.6025    0.6025    0.6184    0.3982
     1.855    0.0000    0.0000    0.0000    0.0000    0.6006    0.6006    0.6164    0.3958
     1.860    0.0000    0.0000    0.0000    0.0000    0.5991    0.5991    0.6149    0.3935
     1.865    0.0000    0.0000    0.0000    0.0000    0.5979    0.5979    0.6137    0.3914
     1.870    0.0000    0.0000    0.0000    0.0000    0.5969    0.5969    0.6129    0.3894
     1.875    0.0000    0.0000    0.0000    0.0000    0.5960    0.5960    0.6123    0.3875
     1.880    0.0000    0.0000    0.0000    0.0000    0.5952    0.5952    0.6119    0.3855
     1.885    0.0000    0.0000    0.0000    0.0000    0.5943    0.5943    0.6116    0.3832
     1.890    0.0000    0.0000    0.0000    0.0000    0.5934    0.5934    0.6113    0.3806
     1.895    0.0000    0.0000    0.0000    0.0000    0.5923    0.5923    0.6110    0.3773
     1.900    0.0000    0.0000    0.0000    0.0000    0.5910    0.5910    0.6105    0.3728
     1.905    0.0000    0.0000    0.0000    0.0000    0.5891    0.5891    0.6094    0.3666
     1.910    0.0000    0.0000    0.0000    0.0000    0.5870    0.5870    0.6081    0.3583
     1.915    0.0000    0.0000    0.0000    0.0000    0.5847    0.5847    0.6066    0.3473
     1.920    0.0000    0.0000    0.0000    0.0000    0.5822    0.5822    0.6050    0.3331
     1.925    0.0000    0.0000    0.0000    0.0000    0.5795    0.5795    0.6031    0.3151
     1.930    0.0000    0.0000    0.0000    0.0000    0.5765    0.5765    0.6009    0.2932
     1.935    0.0000    0.0000    0.0000    0.0000    0.5731    0.5731    0.5982    0.2674
     1.940    0.0000    0.0000    0.0000    0.0000    0.5690    0.5690    0.5948    0.2385
     1.945    0.0000    0.0000    0.0000    0.0000    0.5640    0.5640    0.5903    0.2074
     1.950    0.0000    0.0000    0.0000    0.0000    0.5574    0.5574    0.5842    0.1753
     1.955    0.0000    0.0000    0.0000    0.0000    0.5495    0.5495    0.5766    0.1440
     1.960    0.0000    0.0000    0.0000    0.0000    0.5385    0.5385    0.5658    0.1144
     1.965    0.0000    0.0000    0.0000    0.0000    0.5235    0.5235    0.5508    0.0879
     1.970    0.0000    0.0000    0.0000    0.0000    0.5037    0.5037    0.5305    0.0651
     1.975    0.0000    0.0000    0.0000    0.0000    0.4781    0.4781    0.5041    0.0464
     1.980    0.0000    0.0000    0.0000    0.0000    0.4464    0.4464    0.4712    0.0318
     1.985    0.0000    0.0000    0.0000    0.0000    0.4088    0.4088    0.4321    0.0209
     1.990    0.0000    0.0000    0.0000    0.0000    0.3661    0.3661    0.3874    0.0132
     1.995    0.0000    0.0000    0.0000    0.0000    0.3197    0.3197    0.3388    0.0080
     2.000    0.0000    0.0000    0.0000    0.0000    0.2716    0.2716    0.2881    0.0046
     2.005    0.0000    0.0000    0.0000    0.0000    0.2241    0.2241    0.2381    0.0026
     2.010    0.0000    0.0000    0.0000    0.0000    0.1791    0.1791    0.1906    0.0014
     2.015    0.0000    0.0000    0.0000    0.0000    0.1384    0.1384    0.1475    0.0007
     2.020    0.0000    0.0000    0.0000    0.0000    0.1033    0.1033    0.1102    0.0003
     2.025    0.0000    0.0000    0.0000    0.0000    0.0742    0.0742    0.0793    0.0002
     2.030    0.0000    0.0000    0.0000    0.0000    0.0514    0.0514    0.0550    0.0001
     2.035    0.0000    0.0000    0.0000    0.0000    0.0342    0.0342    0.0367    0.0000
     2.040    0.0000    0.0000    0.0000    0.0000    0.0219    0.0219    0.0235    0.0000
     2.045    0.0000    0.0000    0.0000    0.0000    0.0134    0.0134    0.0144    0.0000
     2.050    0.0000    0.0000    0.0000    0.0000    0.0079    0.0079    0.0085    0.0000
     2.055    0.0000    0.0000    0.0000    0.0000    0.0045    0.0045    0.0048    0.0000
     2.060    0.0000    0.0000    0.0000    0.0000    0.0024    0.0024    0.0026    0.0000
     2.065    0.0000    0.0000    0.0000    0.0000    0.0013    0.0013    0.0014    0.0000
     2.070    0.0000    0.0000    0.0000    0.0000    0.0006    0.0006    0.0007    0.0000
     2.075    0.0000    0.0000    0.0000    0.0000    0.0003    0.0003    0.0003    0.0000
     2.080    0.0000    0.0000    0.0000    0.0000    0.0001    0.0001    0.0001    0.0000
     2.085    0.0000    0.0000    0.0000    0.0000    0.0001    0.0001    0.0001    0.0000
     2.090    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     2.095    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     2.100    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     2.105    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     2.110    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     2.115    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     2.120    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     2.125    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     2.130    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     2.135    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     2.140    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     2.145    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     2.150    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     2.155    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     2.160    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     2.165    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     2.170    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     2.175    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     2.180    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     2.185    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     2.190    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     2.195    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     2.200    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
